Fecha,Año,Mes,Mes_Nombre,Dia,Trimestre,Producto,Categoría,Cantidad,Precio,Ciudad,Total_Venta
2026-05-28,2026,5,Mayo,28,2026Q2,Router WiFi,Redes,8,241.5,Moquegua,1932.0
2026-06-19,2026,6,Junio,19,2026Q2,Impresora Multifunción,Impresoras,14,1150.0,Moquegua,16100.0
2026-05-16,2026,5,Mayo,16,2026Q2,Impresora A,Impresoras,3,780.0,Arequipa,2340.0
2026-05-29,2026,5,Mayo,29,2026Q2,Disco SSD 2TB,Almacenamiento,11,690.0,Moquegua,7590.0
2026-06-03,2026,6,Junio,3,2026Q2,Laptop C,Computadoras,17,4100.0,Juliaca,69700.0
2026-05-22,2026,5,Mayo,22,2026Q2,Switch 8P,Redes,13,310.0,Moquegua,4030.0
2026-01-12,2026,1,Enero,12,2026Q1,USB 64GB,Almacenamiento,19,49.5,Tacna,940.5
2026-04-20,2026,4,Abril,20,2026Q2,Switch 8P,Redes,10,310.0,Puno,3100.0
2026-08-08,2026,8,Agosto,8,2026Q3,Laptop C,Computadoras,10,4100.0,Puno,41000.0
2026-03-11,2026,3,Marzo,11,2026Q1,Webcam HD,Accesorios,14,180.5,Arequipa,2527.0
2026-03-16,2026,3,Marzo,16,2026Q1,Monitor 27,Computadoras,5,1125.0,Tacna,5625.0
2026-06-01,2026,6,Junio,1,2026Q2,Audífonos Pro,Accesorios,7,275.0,Moquegua,1925.0
2026-04-10,2026,4,Abril,10,2026Q2,PC Gamer X,Computadoras,11,4680.0,Cusco,51480.0
2026-07-20,2026,7,Julio,20,2026Q3,Laptop B,Computadoras,13,3360.0,Puno,43680.0
2026-07-04,2026,7,Julio,4,2026Q3,Router WiFi,Redes,1,230.0,Puno,230.0
2026-07-08,2026,7,Julio,8,2026Q3,USB 128GB,Almacenamiento,18,75.0,Arequipa,1350.0
2026-08-07,2026,8,Agosto,7,2026Q3,Impresora Multifunción,Impresoras,18,1035.0,Trujillo,18630.0
2026-04-06,2026,4,Abril,6,2026Q2,Laptop B,Computadoras,18,3360.0,Lima,60480.0
2026-04-16,2026,4,Abril,16,2026Q2,Impresora Multifunción,Impresoras,16,1150.0,Moquegua,18400.0
2026-05-10,2026,5,Mayo,10,2026Q2,Switch 8P,Redes,19,325.5,Trujillo,6184.5
2026-01-02,2026,1,Enero,2,2026Q1,Laptop B,Computadoras,18,3520.0,Tacna,63360.0
2026-07-29,2026,7,Julio,29,2026Q3,Webcam HD,Accesorios,1,199.5,Moquegua,199.5
2026-08-10,2026,8,Agosto,10,2026Q3,Router WiFi,Redes,9,218.5,Trujillo,1966.5
2026-02-24,2026,2,Febrero,24,2026Q1,Impresora Multifunción,Impresoras,6,1150.0,Lima,6900.0
2026-07-09,2026,7,Julio,9,2026Q3,Laptop C,Computadoras,20,4100.0,Puno,82000.0
2026-02-17,2026,2,Febrero,17,2026Q1,Monitor 24,Computadoras,10,765.0,Tacna,7650.0
2026-01-17,2026,1,Enero,17,2026Q1,Webcam HD,Accesorios,15,171.0,Moquegua,2565.0
2026-04-19,2026,4,Abril,19,2026Q2,USB 128GB,Almacenamiento,5,71.25,Puno,356.25
2026-02-18,2026,2,Febrero,18,2026Q1,USB 64GB,Almacenamiento,13,47.25,Moquegua,614.25
2026-08-14,2026,8,Agosto,14,2026Q3,Impresora Multifunción,Impresoras,20,1265.0,Juliaca,25300.0
2026-08-13,2026,8,Agosto,13,2026Q3,Mouse X,Accesorios,1,50.0,Arequipa,50.0
2026-07-09,2026,7,Julio,9,2026Q3,Webcam HD,Accesorios,16,180.5,Moquegua,2888.0
2026-04-28,2026,4,Abril,28,2026Q2,Webcam HD,Accesorios,4,199.5,Juliaca,798.0
2026-02-24,2026,2,Febrero,24,2026Q1,Laptop B,Computadoras,4,3200.0,Cusco,12800.0
2026-04-06,2026,4,Abril,6,2026Q2,Disco SSD 1TB,Almacenamiento,10,342.0,Tacna,3420.0
2026-02-20,2026,2,Febrero,20,2026Q1,Laptop C,Computadoras,8,4510.0,Cusco,36080.0
2026-05-27,2026,5,Mayo,27,2026Q2,Impresora A,Impresoras,1,858.0,Trujillo,858.0
2026-08-04,2026,8,Agosto,4,2026Q3,Monitor 24,Computadoras,10,850.0,Arequipa,8500.0
2026-03-19,2026,3,Marzo,19,2026Q1,Teclado K1,Accesorios,20,126.0,Juliaca,2520.0
2026-06-25,2026,6,Junio,25,2026Q2,Router WiFi,Redes,18,230.0,Arequipa,4140.0
2026-02-17,2026,2,Febrero,17,2026Q1,Impresora Multifunción,Impresoras,6,1207.5,Lima,7245.0
2026-03-07,2026,3,Marzo,7,2026Q1,Router WiFi,Redes,5,207.0,Cusco,1035.0
2026-08-10,2026,8,Agosto,10,2026Q3,Teclado K1,Accesorios,7,126.0,Lima,882.0
2026-04-01,2026,4,Abril,1,2026Q2,PC Gamer X,Computadoras,6,5720.0,Trujillo,34320.0
2026-04-16,2026,4,Abril,16,2026Q2,USB 64GB,Almacenamiento,4,42.75,Cusco,171.0
2026-03-06,2026,3,Marzo,6,2026Q1,PC Gamer X,Computadoras,17,4680.0,Juliaca,79560.0
2026-02-12,2026,2,Febrero,12,2026Q1,Monitor 24,Computadoras,8,850.0,Puno,6800.0
2026-05-08,2026,5,Mayo,8,2026Q2,Disco SSD 1TB,Almacenamiento,1,380.0,Moquegua,380.0
2026-02-26,2026,2,Febrero,26,2026Q1,Cable UTP,Redes,8,27.5,Trujillo,220.0
2026-06-26,2026,6,Junio,26,2026Q2,Webcam HD,Accesorios,7,190.0,Moquegua,1330.0
2026-04-24,2026,4,Abril,24,2026Q2,Disco SSD 2TB,Almacenamiento,10,690.0,Tacna,6900.0
2026-04-26,2026,4,Abril,26,2026Q2,Disco SSD 1TB,Almacenamiento,8,380.0,Moquegua,3040.0
2026-04-29,2026,4,Abril,29,2026Q2,USB 64GB,Almacenamiento,19,42.75,Moquegua,812.25
2026-07-23,2026,7,Julio,23,2026Q3,Monitor 27,Computadoras,4,1312.5,Cusco,5250.0
2026-05-01,2026,5,Mayo,1,2026Q2,USB 64GB,Almacenamiento,20,49.5,Cusco,990.0
2026-07-15,2026,7,Julio,15,2026Q3,Teclado K1,Accesorios,15,132.0,Lima,1980.0
2026-05-29,2026,5,Mayo,29,2026Q2,Switch 8P,Redes,8,310.0,Cusco,2480.0
2026-01-13,2026,1,Enero,13,2026Q1,Disco SSD 2TB,Almacenamiento,12,690.0,Arequipa,8280.0
2026-01-27,2026,1,Enero,27,2026Q1,Impresora A,Impresoras,4,702.0,Juliaca,2808.0
2026-05-09,2026,5,Mayo,9,2026Q2,Impresora Multifunción,Impresoras,18,1035.0,Puno,18630.0
2026-03-20,2026,3,Marzo,20,2026Q1,Monitor 27,Computadoras,13,1125.0,Trujillo,14625.0
2026-03-08,2026,3,Marzo,8,2026Q1,Monitor 27,Computadoras,1,1250.0,Tacna,1250.0
2026-05-19,2026,5,Mayo,19,2026Q2,Impresora A,Impresoras,11,780.0,Juliaca,8580.0
2026-07-30,2026,7,Julio,30,2026Q3,Monitor 24,Computadoras,11,850.0,Tacna,9350.0
2026-08-03,2026,8,Agosto,3,2026Q3,Router WiFi,Redes,15,218.5,Puno,3277.5
2026-06-05,2026,6,Junio,5,2026Q2,Laptop B,Computadoras,17,3360.0,Puno,57120.0
2026-04-11,2026,4,Abril,11,2026Q2,Impresora A,Impresoras,7,780.0,Lima,5460.0
2026-05-29,2026,5,Mayo,29,2026Q2,Laptop C,Computadoras,1,3895.0,Lima,3895.0
2026-06-15,2026,6,Junio,15,2026Q2,Teclado K1,Accesorios,20,126.0,Moquegua,2520.0
2026-01-16,2026,1,Enero,16,2026Q1,PC Gamer X,Computadoras,17,5200.0,Puno,88400.0
2026-07-01,2026,7,Julio,1,2026Q3,Disco SSD 2TB,Almacenamiento,12,759.0,Cusco,9108.0
2026-06-10,2026,6,Junio,10,2026Q2,Cable UTP,Redes,19,23.75,Tacna,451.25
2026-03-28,2026,3,Marzo,28,2026Q1,Mouse X,Accesorios,16,55.0,Puno,880.0
2026-05-01,2026,5,Mayo,1,2026Q2,Cable UTP,Redes,10,27.5,Moquegua,275.0
2026-07-25,2026,7,Julio,25,2026Q3,Monitor 24,Computadoras,5,850.0,Cusco,4250.0
2026-07-18,2026,7,Julio,18,2026Q3,Router WiFi,Redes,13,207.0,Lima,2691.0
2026-03-07,2026,3,Marzo,7,2026Q1,Router WiFi,Redes,19,207.0,Cusco,3933.0
2026-06-19,2026,6,Junio,19,2026Q2,Audífonos Pro,Accesorios,16,262.5,Puno,4200.0
2026-01-15,2026,1,Enero,15,2026Q1,Monitor 24,Computadoras,6,850.0,Lima,5100.0
2026-03-30,2026,3,Marzo,30,2026Q1,Disco SSD 2TB,Almacenamiento,10,690.0,Puno,6900.0
2026-02-20,2026,2,Febrero,20,2026Q1,PC Gamer X,Computadoras,9,4680.0,Puno,42120.0
2026-08-03,2026,8,Agosto,3,2026Q3,Switch 8P,Redes,8,325.5,Tacna,2604.0
2026-07-08,2026,7,Julio,8,2026Q3,Laptop C,Computadoras,19,4510.0,Moquegua,85690.0
2026-02-21,2026,2,Febrero,21,2026Q1,Monitor 27,Computadoras,4,1375.0,Puno,5500.0
2026-01-06,2026,1,Enero,6,2026Q1,Mouse Gamer,Accesorios,5,162.0,Arequipa,810.0
2026-01-03,2026,1,Enero,3,2026Q1,Switch 8P,Redes,9,310.0,Juliaca,2790.0
2026-08-10,2026,8,Agosto,10,2026Q3,Webcam HD,Accesorios,13,190.0,Puno,2470.0
2026-07-28,2026,7,Julio,28,2026Q3,Monitor 27,Computadoras,8,1312.5,Trujillo,10500.0
2026-03-27,2026,3,Marzo,27,2026Q1,USB 64GB,Almacenamiento,17,45.0,Juliaca,765.0
